#{"t_start": 1776737486.7722251, "env_id": "Hopper-v5"}
r,l,t
183.890253,87,12.893067
149.798681,74,12.907575
219.668901,104,12.926452
229.57433,105,12.945298
194.903025,87,12.960807
253.161123,106,12.979459
216.312068,98,12.99708
142.004153,70,13.009543
287.978969,121,13.031531
195.638339,89,13.047955
127.348785,69,13.06068
214.990308,95,13.078315
227.415121,103,13.097256
207.299443,95,13.114685
225.435629,102,13.133372
72.419508,42,13.14116
194.324484,92,13.15821
198.101131,90,13.174736
223.33908,102,13.193078
214.454355,97,13.210884
172.357552,87,13.611849
245.641747,118,13.632949
172.885858,84,13.64864
268.364165,125,13.671614
260.500303,116,13.692976
228.686683,110,13.712948
224.975919,105,13.732096
216.57977,94,13.750107
248.856491,107,13.76883
200.534308,90,13.785245
209.192946,101,13.80392
220.278943,96,13.822112
185.843578,88,13.838328
240.80264,109,13.859078
228.243473,103,13.879036
220.242958,99,13.897039
228.705509,111,13.917402
256.253456,110,13.937555
251.353126,110,13.957847
138.280324,71,13.970858
114.526781,61,14.325435
234.749385,107,14.345704
203.619648,95,14.363116
232.985522,109,14.383235
266.15352,117,14.404815
229.032923,100,14.422834
234.354857,107,14.442762
200.843344,93,14.459973
209.683031,100,14.478167
142.158619,69,14.490716
219.510203,99,14.509426
257.822988,115,14.53004
233.536294,106,14.549651
229.029251,100,14.56784
236.887057,106,14.5869
226.537998,102,14.605482
253.201806,112,14.625931
245.065536,106,14.644764
253.94656,109,14.665263
227.227585,102,14.68329
348.585938,141,15.051723
126.520604,67,15.064454
231.426652,116,15.085681
219.101777,107,15.104565
172.286843,85,15.119819
149.165538,82,15.134919
91.485644,52,15.144348
246.401876,116,15.166314
217.23977,105,15.186136
172.521933,87,15.203098
74.759035,44,15.210917
304.844721,126,15.233375
222.498517,102,15.251501
240.808813,117,15.273779
232.938002,104,15.293126
228.727797,105,15.31276
247.603264,113,15.333367
194.395144,93,15.350422
216.937098,97,15.369085
130.470296,77,15.383963
135.646915,70,15.396969
229.455386,103,15.418308
234.169531,114,15.820527
297.14382,123,15.842825
148.010149,74,15.856298
267.196795,119,15.878407
229.437531,102,15.896775
249.97756,107,15.916697
228.946447,105,15.936083
261.231708,121,15.95833
162.167425,78,15.97254
322.640791,126,15.99516
260.709255,118,16.01657
224.198345,104,16.035582
312.127822,127,16.058483
296.639846,127,16.082133
237.508466,101,16.100901
323.679981,137,16.127057
166.767286,93,16.144057
270.064658,109,16.164048
252.154644,104,16.533297
277.320262,126,16.556024
254.907294,114,16.576437
324.749691,130,16.600355
288.303103,130,16.624359
330.999492,144,16.650819
305.75582,130,16.674347
268.379688,122,16.695948
273.212097,123,16.71868
303.093033,124,16.741585
304.312323,129,16.765597
319.372389,142,16.79111
311.577388,144,16.816524
292.716413,122,16.838698
248.703769,116,16.859979
244.772597,116,16.883312
329.46112,130,17.244727
256.63433,129,17.268786
332.132028,127,17.29168
296.443174,132,17.315869
258.886708,118,17.337366
328.93625,131,17.361269
172.772831,92,17.377995
314.188615,123,17.400425
278.261853,117,17.422364
307.505333,134,17.446705
267.016425,124,17.470292
333.435777,146,17.497913
255.144234,118,17.519169
259.891423,121,17.540865
280.385889,115,17.561199
286.847282,122,17.58326
329.006618,144,17.609031
67.916879,40,17.616056
